SMILES,as_denorm_mean,aw_denorm_mean,bp_denorm_mean,ccs_denorm_mean,cmc_denorm_mean,cpg_denorm_mean,cpl_denorm_mean,cps_denorm_mean,ct_denorm_mean,dk_denorm_mean,dm_denorm_mean,ds_denorm_mean,hc_denorm_mean,hf_denorm_mean,hm_denorm_mean,hv_denorm_mean,ip_denorm_mean,ld_denorm_mean,lf_denorm_mean,lm_denorm_mean,lp_denorm_mean,mec_denorm_mean,mp_denorm_mean,mvl_denorm_mean,mvs_denorm_mean,pka_denorm_mean,pol_denorm_mean,sle_denorm_mean,vp_denorm_mean,ws_denorm_mean
BrC(Br)Br,0.8554157719674111,385.6037684675461,155.7025394318983,107.0178297677994,0.0285124378679683,3.776819375509021,8.81779728655816,4.5643069032430645,792.7506639372825,4.132168325464884,1.118540685884484,2.852266825368404,2.960854958952874,-2.783595409764051,-7.704006736300229,42.40254386644125,10.452202579248548,1.565306285107136,115.3618962927246,-1.21987371394068,2.490050747772753,43904121.57364078,7.193618201386926,60.1636583509234,45.70861612622237,3.354557412611723,11.770636982093109,42.042654297757984,0.0043765696872364,0.0040501650149049
BrCc1ccccc1,0.9867428699465992,374.47152836044665,206.429829762726,138.2963403294325,0.0141662103963298,28.5073303781265,45.926980551106936,41.74425293182969,714.6188122789621,6.997486471683526,1.2424295042817173,1.4055533924121857,21.164110520317863,-2.939622359432936,-6.587910594412207,45.88560112480164,9.361060204085112,2.6005943793669344,86.01043950857162,-0.916391747674048,2.811438844913721,18748706.133138403,4.079793327040676,122.89052825869292,109.82520352936098,8.575341457432986,13.4491579206529,49.55040387581487,0.0005175807718241,0.0017726949288269
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,1.511086800307274,392.3920858256447,353.7061533890307,173.49635287958623,0.0002214913177259,56.73730371353537,87.18486114582151,71.81100171431304,844.4178309446096,4.027956642213928,1.4737107128816134,1.928757456257343,31.036674878859586,-4.552238137983203,-6.825625000738382,62.23806192920685,10.198534437296392,3.662588428100348,197.0231729706955,-1.1592385514348746,5.811949715520859,25554304.615512703,142.85480667936952,200.959602812602,184.40087816662145,6.033869440244466,17.40565718371938,80.3030169691203,4.330803170989757e-09,1.4070242153132272e-06
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,1.5106909432592392,391.3190147412652,353.10648492890004,173.50062756730557,0.0002232423516247,56.59600639029965,87.03861633988738,71.61499795719206,843.3119208119631,3.991229255244916,1.4687881251275798,1.9259460351247788,31.04627724701617,-4.55903140435189,-6.820879772629857,62.1303195049572,10.199522314467432,3.672678937907219,196.3912032808542,-1.1418134825840591,5.799800945294619,25638746.943250023,142.29276360134602,200.7912079507417,184.2500104268143,6.043113856067836,17.339149961004225,80.35038682701459,4.216766018717028e-09,1.492870754189855e-06
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,1.5113052418651582,391.46740344303606,353.4188483535981,173.5542921348274,0.0002205978996162,56.71130443813927,87.10899441267387,71.7795045772499,843.6380568961858,4.023596735670941,1.475068234491533,1.922922249310255,31.11520481392419,-4.546157368687511,-6.820381038618803,62.14194615276337,10.197803763077706,3.6889869490695,196.46215406002523,-1.14736241953969,5.817424859587669,25480632.70711196,142.2645125776428,201.08347645414509,184.3912406026944,6.041083097306817,17.36517023022544,80.11818135094703,4.266235687505075e-09,1.438109303479348e-06
Brc1ccccc1,0.8107262463154794,404.63733212295176,154.7319515180135,137.78779727864028,0.0194571078241894,25.680031721218825,38.838838751320246,40.00179798647404,677.2075635782003,5.436522807749517,1.80724790317938,1.4557005249841213,17.019688775751153,-1.442872615465641,-6.343668280266404,37.48238567315817,9.112899359368086,2.8240020675919952,45.32237432276785,-0.6900183189797403,2.861222875975251,25848751.704160232,-35.455040943013444,110.21306635500564,92.28420521205427,6.029655803530991,13.105187700158218,45.71217231762449,0.0079296302107443,0.003206601496854
C(CCCOCC1CO1)CCOCC1CO1,1.3072205014886855,304.85167474313494,282.48771437788014,161.17209724114895,0.0163836933184329,48.80116603393793,80.99020941903323,57.83660152076185,702.1187047154546,7.301950775129849,1.2473429947184362,1.0894663458658456,38.32609991274508,-8.046188490269184,-6.618804374550104,56.594433758258816,9.88794634030983,0.4986319986736776,140.19191936467172,1.6877358589768408,1.001765136482656,6214614.892952681,-2.1483823278522465,160.58760739403172,168.51182982078214,7.180650045751214,12.68202092557945,108.07425072559089,5.381615275811065e-07,0.0695580807419343
C/C=C/c1ccc(O)c(OC)c1,1.0481062250169515,332.1413830586469,265.5579222937429,126.80495243584872,0.0133326050328639,44.19291224899352,61.65433393058152,47.932785454304216,757.8650740844964,7.969698434407978,1.4259314171782136,1.057929855034776,29.865171149086336,-7.020859436078071,-5.203274409915089,56.46606393175125,7.946745756980182,2.069770570239411,125.00221954720972,-0.0685326021033527,2.550069726940513,7326522.996436525,25.94175242536724,136.12658589554275,130.51642735145867,9.396055178636493,15.373329105944263,55.01032151603665,3.009987651849912e-06,0.0100013695639422
C1=CCC=C1,0.3765028456630708,420.9045349866623,57.90933373827815,135.0640076318193,0.0888364007097473,21.59106645058393,28.175114653141502,32.31875248219609,548.7031056388736,2.69446253568243,0.4326982275458478,0.8326571043979525,16.888807091212676,-0.4306016352937218,-5.848979427466303,28.01938228675365,8.639566508390308,1.9772756648284944,-35.881615853767386,0.0971131862264871,2.1429323330985905,10345363.148926493,-101.20123745627404,87.2700870940623,67.5879391099333,9.015824128777862,10.335185324881508,25.068125209333072,0.8904257081488629,0.039814227988167
C1=CCCCC1,0.2966163525047304,398.1974305798775,83.26631457490446,149.88660106049898,0.021117524927454,29.179669838995338,41.157141102937466,43.25224748450994,547.2119723058701,2.398656624408704,0.3925040701885746,0.8172862102727294,21.575982020683224,0.0804691528711321,-6.098538652602076,30.166985729990003,9.137897353379133,2.370218871305436,-15.327617094268804,0.5417617012596128,2.9108277066390515,13878864.731024489,-84.18777744339465,114.9786743581098,93.4775086954888,9.711005681880591,10.979837185831425,45.520888526946585,0.0613146286323153,0.0028996876889716
