smiles_std,cos2_mollogp_proxy,neoplastic_80_rule_proxy,x3v_chi3v_proxy
BrC(Br)Br,0.504254924973596,0,0.0
BrCc1ccccc1,0.4896136910945603,0,1.6446083878147624
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,0.07313508225423632,0,12.036283413543556
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,0.07313508225423632,0,12.036283413543556
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,0.07313508225423632,0,12.036283413543556
Brc1ccccc1,0.5049015490902088,0,1.2617760723899503
C(CCCOCC1CO1)CCOCC1CO1,0.6272172138435838,1,2.739575407592976
C/C=C/c1ccc(O)c(OC)c1,0.5066566272500312,0,1.5628954975988165
C1=CCC=C1,0.6132182418169343,0,0.6554421650629286
C1=CCCCC1,0.5432424581752099,0,1.158248290463863
C1=Cc2ccccc2C1,0.5271976662206812,0,1.6902686958764574
C1CCOC1,0.6907399731693203,0,0.8273502691896256
C1CCOOC1,0.6980169564316699,0,0.7886751345948128
C1COCCN1,0.8090652280025951,0,0.846352670420018
C1COCCO1,0.7688672879549494,0,0.7440169358562925
C=C(C)C(=O)O,0.7066019367671766,0,0.36509119664386797
C=C(C)C(=O)OC,0.6972638643786856,0,0.5338571184786371
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.37276002618462317,1,3.2550988011848645
C=C(Cl)Cl,0.5640668104065768,0,0.0
C=CC#N,0.7014489267763172,0,0.09128709291752768
C=CC(=C)Cl,0.5652462003446822,0,0.3757925922405443
C=CC(=O)O,0.7467293743344587,0,0.17462042625086102
C=CC(=O)OC,0.7378000988950937,0,0.367851130197758
C=CC(=O)OCC,0.6972638643786856,0,0.4532631323962854
C=CC(=O)OCC(CC)CCCC,0.4492271678121075,1,2.1712372543064222
C=CC(=O)OCCCC,0.6117330595622418,0,0.908878595605525
C=CC=O,0.7351650020525431,0,0.09622504486493764
C=CCO,0.7559427917931981,0,0.12909944487358055
C=CCOc1ccccc1OCC(O)CNC(C)C,0.557889292838995,1,2.3987946023461695
C=CCc1ccc(O)c(OC)c1,0.5417812563565578,0,1.6241733935106493
C=CCc1ccccc1OCC(O)CNC(C)C,0.5390765192381008,1,2.529807164897076
C=COC(C)=O,0.701763824765435,0,0.24929698596356012
C=O,0.789750938863894,0,0.0
CC#N,0.7188509478227967,0,0.0
CC(=O)/C=C/c1ccccc1,0.5234034660418462,0,1.310063962885701
CC(=O)C(Cl)(Cl)Cl,0.5628756022864905,0,1.1976026016854682
CC(=O)C(Cl)Cl,0.6270496963933837,0,0.9219149126204017
