run_id,model_id,split_method,fold_index,sample_fraction,sample_seed,seed,n_full_train,n_train_subsample,n_test,feature_family,descriptor_backend,feature_dim,rmse,mae,r2,pearson_r,spearman_r
scaffold_holdout_10pct_5_sample_efficiency_2604070040,zeng_svr_proxy,scaffold_holdout_10pct_5,1,0.6,42,42,468,281,53,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9867895989026276,0.6841787512587251,-0.005572645716548585,0.565701916399688,0.5837836980486708
scaffold_holdout_10pct_5_sample_efficiency_2604070040,abdallah_lgbm,scaffold_holdout_10pct_5,1,0.8,42,42,468,375,53,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.8059565579857079,0.6287625401532642,0.3292084373977521,0.7210980782824377,0.7095584156379873
scaffold_holdout_10pct_5_sample_efficiency_2604070040,fpadmet_rf,scaffold_holdout_10pct_5,1,0.8,42,42,468,375,53,fpadmet_pubchem,skfp_pubchem_local,881,0.9803873789482024,0.8131739251272778,0.007433192524849308,0.5327667987507008,0.44413075893015935
scaffold_holdout_10pct_5_sample_efficiency_2604070040,gate_lgbm,scaffold_holdout_10pct_5,1,0.8,42,42,468,375,53,gate_predicted_properties,gate_predicted_property_table,30,0.758185184173755,0.6330486092738516,0.4063712699181218,0.6691346638542047,0.6701340592027961
scaffold_holdout_10pct_5_sample_efficiency_2604070040,waters_fragment_linear,scaffold_holdout_10pct_5,1,0.8,42,42,468,375,53,waters_functional_groups,rdkit_smarts,10,1.0997833689717282,0.9296276390169835,-0.24904653894688034,0.2118939603698489,0.19749194039150503
scaffold_holdout_10pct_5_sample_efficiency_2604070040,zeng_svr_proxy,scaffold_holdout_10pct_5,1,0.8,42,42,468,375,53,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9322876314155557,0.6389952383218105,0.10243859562373836,0.5972091345526858,0.5973625515259784
scaffold_holdout_10pct_5_sample_efficiency_2604070040,abdallah_lgbm,scaffold_holdout_10pct_5,1,1.0,42,42,468,468,53,abdallah_descriptor_table,cdk_2_8_curated_subset,97,0.7763307388886248,0.6406536764618126,0.3776167598075889,0.7449830406157801,0.7669490215693174
scaffold_holdout_10pct_5_sample_efficiency_2604070040,fpadmet_rf,scaffold_holdout_10pct_5,1,1.0,42,42,468,468,53,fpadmet_pubchem,skfp_pubchem_local,881,0.8598166967929188,0.6660975924827733,0.23655795654893885,0.6108911486498317,0.5971763628703068
scaffold_holdout_10pct_5_sample_efficiency_2604070040,gate_lgbm,scaffold_holdout_10pct_5,1,1.0,42,42,468,468,53,gate_predicted_properties,gate_predicted_property_table,30,0.7494048852837089,0.6040433696632087,0.42004090410114336,0.6678895830676546,0.6466153287908721
scaffold_holdout_10pct_5_sample_efficiency_2604070040,waters_fragment_linear,scaffold_holdout_10pct_5,1,1.0,42,42,468,468,53,waters_functional_groups,rdkit_smarts,10,1.0905517163579268,0.9228936962283433,-0.22816539256431057,0.27137023547373607,0.2713237295438119
scaffold_holdout_10pct_5_sample_efficiency_2604070040,zeng_svr_proxy,scaffold_holdout_10pct_5,1,1.0,42,42,468,468,53,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9714492322605122,0.6354615678675696,0.025449063467990474,0.5644077100622619,0.5586474089460668
