smiles_std,amide,amine,aromatic,bromine,carboxylic_acid,chlorine,ether,ester,hydroxyl,ketone
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,0,3,0,0,0,0,0,5,0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,0,0,2,0,0,0,0,0,4,1
N[C@@H](CO)C(=O)O,0,1,0,0,1,0,0,0,2,0
