run_id,model_id,split_method,fold_index,seed,n_train,n_test,feature_family,descriptor_backend,feature_dim,rmse,mae,r2,pearson_r,spearman_r
finalcheck_2607312337,gate_lgbm,random_10fold,7,42,469,52,gate_predicted_properties,gate_predicted_property_table,30,0.6046015377945075,0.4550790568662793,0.5550767191393134,0.7916475587877524,0.786083245113286
finalcheck_2607312337,gate_lgbm,random_10fold,8,42,469,52,gate_predicted_properties,gate_predicted_property_table,30,0.7753101965600684,0.559800216590938,0.456017917330381,0.6918666466496893,0.74404507811833
finalcheck_2607312337,gate_lgbm,random_10fold,9,42,469,52,gate_predicted_properties,gate_predicted_property_table,30,0.8319652274534145,0.6236210932606002,0.594241775368507,0.7731756809115657,0.7625877784495193
finalcheck_2607312337,gate_lgbm,random_10fold,10,42,469,52,gate_predicted_properties,gate_predicted_property_table,30,0.6237344412848659,0.40276465321757865,0.6904892128874145,0.859525231262163,0.8746878403734132
finalcheck_2607312337,waters_fragment_linear,random_10fold,1,42,468,53,waters_functional_groups,rdkit_smarts,10,1.1261268808945817,0.8259997266229745,0.06175116731505259,0.3184341444673939,0.45867196339042443
finalcheck_2607312337,waters_fragment_linear,random_10fold,2,42,469,52,waters_functional_groups,rdkit_smarts,10,1.1538567758393472,0.844706871012503,0.0360729955728597,0.42005720906153443,0.47236935501382554
finalcheck_2607312337,waters_fragment_linear,random_10fold,3,42,469,52,waters_functional_groups,rdkit_smarts,10,0.8212089934348837,0.6730851977554059,0.3800565055867553,0.6328837810022659,0.6531283657225251
finalcheck_2607312337,waters_fragment_linear,random_10fold,4,42,469,52,waters_functional_groups,rdkit_smarts,10,0.9437615103539678,0.7989228539241099,0.42538240134521366,0.6567804214320966,0.720468005948008
finalcheck_2607312337,waters_fragment_linear,random_10fold,5,42,469,52,waters_functional_groups,rdkit_smarts,10,1.062861067531603,0.8610490224917743,0.2765984429754085,0.5379170841504661,0.6198428974812984
finalcheck_2607312337,waters_fragment_linear,random_10fold,6,42,469,52,waters_functional_groups,rdkit_smarts,10,0.8101177184512769,0.6271300365547643,0.48717763808735215,0.6999202896515906,0.6611353881970666
finalcheck_2607312337,waters_fragment_linear,random_10fold,7,42,469,52,waters_functional_groups,rdkit_smarts,10,0.7930096968601705,0.680784337065063,0.23457325695627618,0.5209528339822291,0.4791961340912494
finalcheck_2607312337,waters_fragment_linear,random_10fold,8,42,469,52,waters_functional_groups,rdkit_smarts,10,0.9037700006563321,0.720044109351796,0.26082129467402726,0.5222677973264974,0.5774912559665042
finalcheck_2607312337,waters_fragment_linear,random_10fold,9,42,469,52,waters_functional_groups,rdkit_smarts,10,0.975759207838334,0.8379711177262114,0.44186109241336047,0.7017366556291911,0.619999160193808
finalcheck_2607312337,waters_fragment_linear,random_10fold,10,42,469,52,waters_functional_groups,rdkit_smarts,10,1.02280001471595,0.7458927025130747,0.1677423614254825,0.42661140512502355,0.5147555455562863
finalcheck_2607312337,zeng_svr_proxy,random_10fold,1,42,468,53,zeng_proxy_descriptors,rdkit_paper_proxy,3,1.2337691855696862,0.8268075263442961,-0.12618884292878607,0.32867341763433305,0.5125889492443908
finalcheck_2607312337,zeng_svr_proxy,random_10fold,2,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.9156637467124852,0.6174148517894111,0.39296689356173553,0.645998215331361,0.692706665970687
finalcheck_2607312337,zeng_svr_proxy,random_10fold,3,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.682549296512508,0.47849825893195097,0.5717348256083183,0.7713959487021399,0.8087431723468461
finalcheck_2607312337,zeng_svr_proxy,random_10fold,4,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.7413608708015785,0.5051567032945868,0.6454204207999474,0.8035682383244577,0.7985315149841418
finalcheck_2607312337,zeng_svr_proxy,random_10fold,5,42,469,52,zeng_proxy_descriptors,rdkit_paper_proxy,3,0.868586077044265,0.6308615078851746,0.5168831688811316,0.7313245229753529,0.7356086317869525
