model_id,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std
abdallah_lgbm,0.7617426036901257,0.10244478194376039,0.5238436984054046,0.06787997504911357,0.5514405753942246,0.09710648774085959,0.7533131178317383,0.06311978170386728,0.757012610409814,0.05969726376172043
fpadmet_rf,0.7605411577715133,0.06810219140971721,0.560210594251522,0.05562726988996957,0.5534287203055848,0.06671903246408917,0.7492161724202094,0.045933985111389554,0.7378827060348507,0.058164144881701206
gate_lgbm,0.7253827540922887,0.10908284655737722,0.5241995140556999,0.07979302427467468,0.5906054775074613,0.11277805631118516,0.7745717128800902,0.07734890770931692,0.7829556937221865,0.0678278567357195
waters_fragment_linear,0.9595540479982914,0.09877276442991062,0.7565720183622177,0.0733669201451581,0.2873565587291927,0.1280971813614029,0.5470013124275863,0.11125832627218997,0.5800447339041633,0.09007517751526663
zeng_svr_proxy,0.8632219371459537,0.154893550831088,0.5752859287479144,0.09901411874825942,0.4165415095363624,0.19707543959907484,0.681039678726,0.11643166122853817,0.7156652495847646,0.09054916753975076
