model_id,pearson_r,spearman_r,rmse
zeng_svr_proxy,0.02166529558440537,-0.5,0.5833865799092871
abdallah_lgbm,-0.3657424470831742,-0.5,0.4111816594439293
waters_fragment_linear,-0.9682217327112814,-0.5,0.6370622235166861
fpadmet_rf,-0.5846897931295348,-0.5,1.1190550692602441
gate_lgbm,0.9667761969063369,0.5,0.5039866760499736
